City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
520,den burg,53.0542,4.7972,11.1,94,100,5.14,NL,1698720447
521,carutapera,-1.195,-46.02,26.05,82,55,2.98,BR,1698720447
522,la sarre,48.8002,-79.1996,-4.08,76,9,2.51,CA,1698720334
523,kombolcha,11.0816,39.7434,13.95,77,54,1.4,ET,1698720303
524,mueang nonthaburi,13.8608,100.5148,28.97,81,75,3.09,TH,1698720448
525,newman,37.3138,-121.0208,17.13,38,5,0.89,US,1698720449
526,neyriz,29.1988,54.3278,15.73,58,57,0.63,IR,1698720449
527,aral,40.5156,81.2636,15.9,22,100,0.87,CN,1698720449
528,victorica,-36.2151,-65.4359,10.52,28,100,4.08,AR,1698720450
529,karbala,32.616,44.0249,24.65,37,99,0.21,IQ,1698720450
530,sehwan,26.4279,67.863,29.18,26,0,0.37,PK,1698720451
531,krasnokamensk,50.0979,118.0369,-2.17,46,65,1.23,RU,1698720451
532,manay,7.215,126.5397,29.22,73,100,3.19,PH,1698720451
533,westport,41.1415,-73.3579,11.29,81,100,4.63,US,1698720428
534,mstera,56.3789,41.92,5.32,99,100,5.14,RU,1698720452
535,amahai,-3.3333,128.9167,30.18,64,61,3.13,ID,1698720453
536,nenjiang,49.1833,125.2167,-0.94,84,100,3.07,CN,1698720453
537,healesville,-37.65,145.5167,16.46,39,63,3.21,AU,1698720188
538,sandnessjoen,66.0217,12.6316,-8.71,67,3,4.08,NO,1698720454
539,acapulco de juarez,16.8634,-99.8901,26.66,86,22,1.49,MX,1698720454
540,bata,1.8639,9.7658,25.76,88,100,5.12,GQ,1698720455
541,palmer,42.1584,-72.3287,8.65,82,99,3.91,US,1698720455
542,egilsstadir,65.2653,-14.3948,-7.05,93,20,2.06,IS,1698720456
543,kota bharu,6.1333,102.2386,33.39,83,20,1.54,MY,1698720456
544,pandan,14.0453,124.1694,27.44,87,100,7.03,PH,1698720456
545,lagoa,39.05,-27.9833,18.98,82,17,12.09,PT,1698720457
546,souillac,-20.5167,57.5167,24.21,88,40,1.03,MU,1698720457
547,syriam,16.7722,96.2378,27.06,83,40,5.14,MM,1698720457
548,arenapolis,-14.4503,-56.8461,22.84,93,70,1.93,BR,1698720458
